Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0xc4cf24d370e1967a46a049884186307115c861fe336af6ecac7906ce1faea83f,11944828,2022-04-14 20:48:20,0x44bc93a8d3cefa5a6721723a2f8d2e4f7d480ba0,0x24d404714b7bc2668d7ed344052427f736f12a67,2008.28212832,VET,0,received 2008.28212832 VET
0x0fbde46009de52d35e81c84c3f62040e38fd44ef95fb90af56e23fc87d553534,13707819,2022-11-04 22:26:40,0x24d404714b7bc2668d7ed344052427f736f12a67,0x35342f0f7f831e18cf883475bf63dbf873207c8e,-2008.28,VET,-0.21,sent 2008.28 VET
